round,match_number,date,time,team1,team1_code,team2,team2_code,score_ft_team1,score_ft_team2,score_ht_team1,score_ht_team2,group
Matchday 1,1,2024-06-14,21:00,Germany,GER,Scotland,SCO,5.0,1.0,3.0,0.0,Group A
Matchday 1,2,2024-06-15,15:00,Hungary,HUN,Switzerland,SUI,1.0,3.0,0.0,2.0,Group A
Matchday 1,3,2024-06-15,18:00,Spain,ESP,Croatia,CRO,3.0,0.0,3.0,0.0,Group B
Matchday 1,4,2024-06-15,21:00,Italy,ITA,Albania,ALB,2.0,1.0,2.0,1.0,Group B
Matchday 1,6,2024-06-16,18:00,Slovenia,SVN,Denmark,DEN,1.0,1.0,0.0,1.0,Group C
Matchday 1,5,2024-06-16,21:00,Serbia,SRB,England,ENG,0.0,1.0,0.0,1.0,Group C
Matchday 1,7,2024-06-16,15:00,Poland,POL,Netherlands,NED,1.0,2.0,1.0,1.0,Group D
Matchday 1,8,2024-06-17,21:00,Austria,AUT,France,FRA,0.0,1.0,0.0,1.0,Group D
Matchday 1,10,2024-06-17,15:00,Romania,ROU,Ukraine,UKR,3.0,0.0,1.0,0.0,Group E
Matchday 1,9,2024-06-17,18:00,Belgium,BEL,Slovakia,SVK,0.0,1.0,0.0,1.0,Group E
Matchday 1,11,2024-06-18,18:00,Turkey,TUR,Georgia,GEO,3.0,1.0,1.0,1.0,Group F
Matchday 1,12,2024-06-18,21:00,Portugal,POR,Czech Republic,CZE,2.0,1.0,0.0,0.0,Group F
Matchday 2,14,2024-06-19,18:00,Germany,GER,Hungary,HUN,2.0,0.0,1.0,0.0,Group A
Matchday 2,13,2024-06-19,21:00,Scotland,SCO,Switzerland,SUI,1.0,1.0,1.0,1.0,Group A
Matchday 2,15,2024-06-19,15:00,Croatia,CRO,Albania,ALB,2.0,2.0,0.0,1.0,Group B
Matchday 2,16,2024-06-20,21:00,Spain,ESP,Italy,ITA,1.0,0.0,0.0,0.0,Group B
Matchday 2,18,2024-06-20,15:00,Slovenia,SVN,Serbia,SRB,1.0,1.0,0.0,0.0,Group C
Matchday 2,17,2024-06-20,18:00,Denmark,DEN,England,ENG,1.0,1.0,1.0,1.0,Group C
Matchday 2,19,2024-06-21,18:00,Poland,POL,Austria,AUT,1.0,3.0,1.0,1.0,Group D
Matchday 2,20,2024-06-21,21:00,Netherlands,NED,France,FRA,0.0,0.0,0.0,0.0,Group D
Matchday 2,21,2024-06-21,15:00,Slovakia,SVK,Ukraine,UKR,1.0,2.0,1.0,0.0,Group E
Matchday 2,22,2024-06-22,21:00,Belgium,BEL,Romania,ROU,2.0,0.0,1.0,0.0,Group E
Matchday 2,24,2024-06-22,15:00,Georgia,GEO,Czech Republic,CZE,1.0,1.0,1.0,0.0,Group F
Matchday 2,23,2024-06-22,18:00,Turkey,TUR,Portugal,POR,0.0,3.0,0.0,2.0,Group F
Matchday 3,25,2024-06-23,21:00,Switzerland,SUI,Germany,GER,1.0,1.0,1.0,0.0,Group A
Matchday 3,26,2024-06-23,21:00,Scotland,SCO,Hungary,HUN,0.0,1.0,0.0,0.0,Group A
Matchday 3,27,2024-06-24,21:00,Albania,ALB,Spain,ESP,0.0,1.0,0.0,1.0,Group B
Matchday 3,28,2024-06-24,21:00,Croatia,CRO,Italy,ITA,1.0,1.0,0.0,0.0,Group B
Matchday 3,29,2024-06-25,21:00,England,ENG,Slovenia,SVN,0.0,0.0,0.0,0.0,Group C
Matchday 3,30,2024-06-25,21:00,Denmark,DEN,Serbia,SRB,0.0,0.0,0.0,0.0,Group C
Matchday 3,31,2024-06-25,18:00,Netherlands,NED,Austria,AUT,2.0,3.0,0.0,1.0,Group D
Matchday 3,32,2024-06-25,18:00,France,FRA,Poland,POL,1.0,1.0,0.0,0.0,Group D
Matchday 3,33,2024-06-26,18:00,Slovakia,SVK,Romania,ROU,1.0,1.0,1.0,1.0,Group E
Matchday 3,34,2024-06-26,18:00,Ukraine,UKR,Belgium,BEL,0.0,0.0,0.0,0.0,Group E
Matchday 3,35,2024-06-26,21:00,Georgia,GEO,Portugal,POR,2.0,0.0,1.0,0.0,Group F
Matchday 3,36,2024-06-26,21:00,Czech Republic,CZE,Turkey,TUR,1.0,2.0,0.0,0.0,Group F
Round of 16,38,2024-06-29,18:00,Switzerland,SUI,Italy,ITA,2.0,0.0,1.0,0.0,
Round of 16,37,2024-06-29,21:00,Germany,GER,Denmark,DEN,2.0,0.0,0.0,0.0,
Round of 16,40,2024-06-30,18:00,England,ENG,Slovakia,SVK,2.0,1.0,0.0,1.0,
Round of 16,39,2024-06-30,21:00,Spain,ESP,Georgia,GEO,4.0,1.0,1.0,1.0,
Round of 16,42,2024-07-01,18:00,France,FRA,Belgium,BEL,1.0,0.0,0.0,0.0,
Round of 16,41,2024-07-01,21:00,Portugal,POR,Slovenia,SVN,0.0,0.0,0.0,0.0,
Round of 16,43,2024-07-02,18:00,Romania,ROU,Netherlands,NED,0.0,3.0,0.0,1.0,
Round of 16,44,2024-07-02,21:00,Austria,AUT,Turkey,TUR,1.0,2.0,0.0,1.0,
Quarter-finals,45,2024-07-05,18:00,Spain,ESP,Germany,GER,2.0,1.0,0.0,0.0,
Quarter-finals,46,2024-07-05,21:00,Portugal,POR,France,FRA,0.0,0.0,0.0,0.0,
Quarter-finals,48,2024-07-06,18:00,England,ENG,Switzerland,SUI,1.0,1.0,0.0,0.0,
Quarter-finals,47,2024-07-06,21:00,Netherlands,NED,Turkey,TUR,2.0,1.0,0.0,1.0,
Semi-finals,49,2024-07-09,21:00,Spain,ESP,France,FRA,2.0,1.0,2.0,1.0,
Semi-finals,50,2024-07-10,21:00,Netherlands,NED,England,ENG,1.0,2.0,1.0,1.0,
Final,51,2024-07-14,21:00,Spain,ESP,England,ENG,,,,,
